;Код ОВД     ;Год         ;Номер документа      ;Номер престу;Дата пос тановки  в ИЦ     ;Текст решения                                                                                                                                      ;Дата решения            ;Фамилия сл-ля                                            ;Шифр докумен;Дата соз дания за писи     ;Код принятого решения      ;Кто приня л решение (код)     
1002;1;2014;1310601;1;25.01.2016;Возобн.приост.ст208ч.1п.1                         ;22.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
1003;1;2014;1312301;1;20.05.2016;Возобн.приост.ст208ч.1п.1                         ;03.05.2016;САЛТАНОВА           ;3;23.05.2016;174;5
1004;1;2014;1312501;1;26.05.2016;Возобн.приост.ст208ч.1п.1                         ;03.05.2016;САЛТАНОВА           ;3;26.05.2016;174;5
1005;1;2014;1312801;1;25.01.2016;Возобн.приост.ст208ч.1п.1                         ;22.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
1006;1;2014;1312901;1;06.04.2016;Возобн.приост.ст208ч.1п.1                         ;03.04.2016;ОСИПОВА             ;3;07.04.2016;174;5
1007;1;2014;1313101;1;25.01.2016;Возобн.приост.ст208ч.1п.1                         ;22.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
1008;1;2014;1313901;1;20.05.2016;Возобн.приост.ст208ч.1п.1                         ;03.05.2016;САЛТАНОВА           ;3;23.05.2016;174;5
1009;1;2014;1315501;1;25.01.2016;Возобн.приост.ст208ч.1п.1                         ;22.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
1010;1;2014;1315601;1;06.04.2016;Возобн.приост.ст208ч.1п.1                         ;03.04.2016;ОСИПОВА             ;3;07.04.2016;174;5
1011;1;2014;1316101;1;06.04.2016;Возобн.приост.ст208ч.1п.1                         ;03.04.2016;ОСИПОВА             ;3;07.04.2016;174;5
1012;1;2014;1316701;1;25.01.2016;Возобн.приост.ст208ч.1п.1                         ;22.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
1013;1;2014;1317101;1;06.04.2016;Возобн.приост.ст208ч.1п.1                         ;03.04.2016;ОСИПОВА             ;3;08.04.2016;174;5
1014;1;2014;1317401;1;29.02.2016;Возобн.приост.ст208ч.1п.1                         ;26.02.2016;ЧЕРЕПАНОВА          ;3;02.03.2016;174;5
1015;1;2014;1318301;1;23.05.2016;Возобн.приост.ст208ч.1п.1                         ;03.05.2016;ОСИПОВА             ;3;23.05.2016;174;5
1016;1;2014;1318801;1;20.05.2016;Возобн.приост.ст208ч.1п.1                         ;03.05.2016;САЛТАНОВА           ;3;23.05.2016;174;5
1017;1;2014;1319001;1;20.05.2016;Возобн.приост.ст208ч.1п.1                         ;03.05.2016;САЛТАНОВА           ;3;23.05.2016;174;5
1018;1;2014;1320701;1;25.01.2016;Возобн.приост.ст208ч.1п.1                         ;22.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
1019;1;2014;1322601;1;25.01.2016;Возобн.приост.ст208ч.1п.1                         ;22.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
1020;1;2014;1323001;1;29.02.2016;Возобн.приост.ст208ч.1п.1                         ;26.02.2016;ЧЕРЕПАНОВА          ;3;02.03.2016;174;5
1021;1;2014;1323801;1;20.05.2016;Возобн.приост.ст208ч.1п.1                         ;03.05.2016;САЛТАНОВА           ;3;23.05.2016;174;5
1022;1;2014;1324001;1;25.01.2016;Возобн.приост.ст208ч.1п.1                         ;22.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
1023;1;2014;1324801;1;20.05.2016;Возобн.приост.ст208ч.1п.1                         ;03.05.2016;САЛТАНОВА           ;3;23.05.2016;174;5
1024;1;2014;1325001;1;06.04.2016;Возобн.приост.ст208ч.1п.1                         ;03.04.2016;ОСИПОВА             ;3;08.04.2016;174;5
1025;1;2014;1325401;1;20.05.2016;Возобн.приост.ст208ч.1п.1                         ;03.05.2016;САЛТАНОВА           ;3;23.05.2016;174;5
1026;1;2014;1325501;1;06.04.2016;Возобн.приост.ст208ч.1п.1                         ;03.04.2016;ОСИПОВА             ;3;08.04.2016;174;5
1027;1;2014;1325901;1;20.05.2016;Возобн.приост.ст208ч.1п.1                         ;03.05.2016;САЛТАНОВА           ;3;23.05.2016;174;5
1028;1;2014;1326601;1;25.01.2016;Возобн.приост.ст208ч.1п.1                         ;22.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
1029;1;2014;1326701;1;20.05.2016;Возобн.приост.ст208ч.1п.1                         ;03.05.2016;САЛТАНОВА           ;3;23.05.2016;174;5
1030;1;2014;1326801;1;25.01.2016;Возобн.приост.ст208ч.1п.1                         ;22.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
1031;1;2014;1326901;1;25.01.2016;Возобн.приост.ст208ч.1п.1                         ;22.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
1032;1;2014;1327901;1;20.05.2016;Возобн.приост.ст208ч.1п.1                         ;03.05.2016;САЛТАНОВА           ;3;23.05.2016;174;5
1033;1;2014;1328601;1;06.04.2016;Возобн.приост.ст208ч.1п.1                         ;03.04.2016;ОСИПОВА             ;3;08.04.2016;174;5
1034;1;2014;1328701;1;23.05.2016;Возобн.приост.ст208ч.1п.1                         ;03.05.2016;ОСИПОВА             ;3;23.05.2016;174;5
1035;1;2014;1328801;1;25.01.2016;Возобн.приост.ст208ч.1п.1                         ;22.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
1036;1;2014;1328901;1;20.01.2016;Возобн.приост.ст208ч.1п.1                         ;19.01.2016;ОСИПОВА             ;3;25.01.2016;174;5
1037;1;2014;1329801;1;29.02.2016;Возобн.приост.ст208ч.1п.1                         ;26.02.2016;ЧЕРЕПАНОВА          ;3;02.03.2016;174;5
1038;1;2014;1329901;1;20.07.2016;Возобн.приост.ст208ч.1п.1                         ;15.06.2016;ЗАХАРОВА            ;3;20.07.2016;174;2
1039;1;2014;1330601;1;20.05.2016;Возобн.приост.ст208ч.1п.1                         ;03.05.2016;САЛТАНОВА           ;3;23.05.2016;174;5
1040;1;2014;1330701;1;20.01.2016;Возобн.приост.ст208ч.1п.1                         ;19.01.2016;ЧЕРЕПАНОВА          ;3;25.01.2016;174;5
