========================================================================================
РЕЕСТР УГОЛОВНЫХ ДЕЛ С ПОВТОРНЫМИ ОТМЕНАМИ И ВОЗОБНОВЛЕНИЯМИ (ВОЗОБНОВЛЕНИЙ > 1)
Дата формирования: 13.09.2026, 01:11:55
Всего дел в исходной базе: 6898
Всего дел с повторными возобновлениями: 2076
========================================================================================

[ 127] ОВД: 2   | Дело №: 338902   | Возобновлений: [ 5] | Первая строка: 2927  | Даты: 30.04.2016, 28.03.2016
[ 128] ОВД: 2   | Дело №: 339802   | Возобновлений: [ 5] | Первая строка: 2939  | Даты: 16.05.2016, 28.03.2016, 02.02.2016
[ 129] ОВД: 2   | Дело №: 350802   | Возобновлений: [ 5] | Первая строка: 3013  | Даты: 28.07.2016, 18.04.2016, 30.05.2016, 28.03.2016
[ 130] ОВД: 2   | Дело №: 351302   | Возобновлений: [ 5] | Первая строка: 3022  | Даты: 16.05.2016, 22.03.2016
[ 131] ОВД: 2   | Дело №: 356402   | Возобновлений: [ 5] | Первая строка: 3052  | Даты: 05.04.2016
[ 132] ОВД: 2   | Дело №: 364902   | Возобновлений: [ 5] | Первая строка: 3100  | Даты: 28.07.2016, 28.06.2016, 30.04.2016
[ 133] ОВД: 2   | Дело №: 375602   | Возобновлений: [ 5] | Первая строка: 3159  | Даты: 30.05.2016, 18.04.2016
[ 134] ОВД: 2   | Дело №: 380702   | Возобновлений: [ 5] | Первая строка: 3191  | Даты: 18.04.2016, 24.06.2016
[ 135] ОВД: 2   | Дело №: 388802   | Возобновлений: [ 5] | Первая строка: 3244  | Даты: 25.04.2016
[ 136] ОВД: 2   | Дело №: 391502   | Возобновлений: [ 5] | Первая строка: 3255  | Даты: 24.06.2016, 16.05.2016, 28.07.2016
[ 137] ОВД: 2   | Дело №: 399602   | Возобновлений: [ 5] | Первая строка: 3304  | Даты: 08.06.2016
[ 138] ОВД: 2   | Дело №: 416402   | Возобновлений: [ 5] | Первая строка: 3367  | Даты: 28.06.2016, 30.05.2016
[ 139] ОВД: 3   | Дело №: 1203     | Возобновлений: [ 5] | Первая строка: 3515  | Даты: 24.03.2016, 11.05.2016
[ 140] ОВД: 3   | Дело №: 150403   | Возобновлений: [ 5] | Первая строка: 3564  | Даты: 25.04.2016, 08.04.2016, 03.02.2016
[ 141] ОВД: 3   | Дело №: 224703   | Возобновлений: [ 5] | Первая строка: 3645  | Даты: 08.04.2016, 21.01.2016, 13.04.2016, 03.02.2016
[ 142] ОВД: 3   | Дело №: 250703   | Возобновлений: [ 5] | Первая строка: 3705  | Даты: 11.04.2016, 29.01.2016, 20.01.2016, 16.03.2016
[ 143] ОВД: 3   | Дело №: 275303   | Возобновлений: [ 5] | Первая строка: 3778  | Даты: 15.01.2016
[ 144] ОВД: 3   | Дело №: 277203   | Возобновлений: [ 5] | Первая строка: 3796  | Даты: 05.03.2016, 18.04.2016, 13.05.2016
[ 145] ОВД: 3   | Дело №: 283003   | Возобновлений: [ 5] | Первая строка: 3831  | Даты: 17.03.2016, 12.04.2016, 01.04.2016, 11.03.2016
[ 146] ОВД: 3   | Дело №: 305803   | Возобновлений: [ 5] | Первая строка: 3924  | Даты: 16.06.2016, 04.05.2016, 14.06.2016
[ 147] ОВД: 3   | Дело №: 305903   | Возобновлений: [ 5] | Первая строка: 3929  | Даты: 04.05.2016, 22.06.2016
[ 148] ОВД: 3   | Дело №: 308803   | Возобновлений: [ 5] | Первая строка: 3940  | Даты: 11.05.2016, 20.06.2016
[ 149] ОВД: 4   | Дело №: 231404   | Возобновлений: [ 5] | Первая строка: 4886  | Даты: 18.02.2016, 24.02.2016
[ 150] ОВД: 4   | Дело №: 262904   | Возобновлений: [ 5] | Первая строка: 4978  | Даты: 16.03.2016
[ 151] ОВД: 4   | Дело №: 264904   | Возобновлений: [ 5] | Первая строка: 4985  | Даты: 31.03.2016, 26.05.2016, 02.02.2016, 29.02.2016
[ 152] ОВД: 7   | Дело №: 294107   | Возобновлений: [ 5] | Первая строка: 5358  | Даты: 11.07.2016, 08.02.2016, 05.05.2016
[ 153] ОВД: 7   | Дело №: 2407     | Возобновлений: [ 5] | Первая строка: 5367  | Даты: 02.02.2016, 22.01.2016
[ 154] ОВД: 7   | Дело №: 147407   | Возобновлений: [ 5] | Первая строка: 5411  | Даты: 06.05.2016, 16.03.2016, 04.02.2016
[ 155] ОВД: 7   | Дело №: 154707   | Возобновлений: [ 5] | Первая строка: 5436  | Даты: 19.01.2016, 09.06.2016, 28.01.2016, 21.03.2016
[ 156] ОВД: 8   | Дело №: 117608   | Возобновлений: [ 5] | Первая строка: 5568  | Даты: 16.02.2016
[ 157] ОВД: 9   | Дело №: 119309   | Возобновлений: [ 5] | Первая строка: 5612  | Даты: 12.01.2016
[ 158] ОВД: 10  | Дело №: 140410   | Возобновлений: [ 5] | Первая строка: 5831  | Даты: 20.01.2016
[ 159] ОВД: 10  | Дело №: 158110   | Возобновлений: [ 5] | Первая строка: 5904  | Даты: 06.06.2016, 30.05.2016
[ 160] ОВД: 11  | Дело №: 234311   | Возобновлений: [ 5] | Первая строка: 6095  | Даты: 30.06.2016, 29.04.2016, 31.03.2016
[ 161] ОВД: 12  | Дело №: 133312   | Возобновлений: [ 5] | Первая строка: 6144  | Даты: 05.02.2016
[ 162] ОВД: 12  | Дело №: 146112   | Возобновлений: [ 5] | Первая строка: 6165  | Даты: 25.07.2016, 21.07.2016
[ 163] ОВД: 14  | Дело №: 110614   | Возобновлений: [ 5] | Первая строка: 6323  | Даты: 22.01.2016
[ 164] ОВД: 16  | Дело №: 153316   | Возобновлений: [ 5] | Первая строка: 6413  | Даты: 09.02.2016
[ 165] ОВД: 18  | Дело №: 132018   | Возобновлений: [ 5] | Первая строка: 6542  | Даты: 16.06.2016
[ 166] ОВД: 20  | Дело №: 175920   | Возобновлений: [ 5] | Первая строка: 6726  | Даты: 01.07.2016
[ 167] ОВД: 20  | Дело №: 141720   | Возобновлений: [ 5] | Первая строка: 6838  | Даты: 16.02.2016, 23.05.2016, 10.01.2016
[ 168] ОВД: 20  | Дело №: 146520   | Возобновлений: [ 5] | Первая строка: 6877  | Даты: 23.05.2016, 16.02.2016
[ 169] ОВД: 20  | Дело №: 2100220  | Возобновлений: [ 5] | Первая строка: 6898  | Даты: 19.01.2016
[ 170] ОВД: 23  | Дело №: 16123    | Возобновлений: [ 5] | Первая строка: 7152  | Даты: 18.02.2016
[ 171] ОВД: 25  | Дело №: 175525   | Возобновлений: [ 5] | Первая строка: 7295  | Даты: 14.04.2016, 01.04.2016
[ 172] ОВД: 25  | Дело №: 177125   | Возобновлений: [ 5] | Первая строка: 7300  | Даты: 03.02.2016
[ 173] ОВД: 25  | Дело №: 192225   | Возобновлений: [ 5] | Первая строка: 7344  | Даты: 22.04.2016, 30.06.2016
[ 174] ОВД: 26  | Дело №: 140326   | Возобновлений: [ 5] | Первая строка: 7437  | Даты: 07.01.2016
[ 175] ОВД: 26  | Дело №: 143726   | Возобновлений: [ 5] | Первая строка: 7470  | Даты: 29.02.2016
[ 176] ОВД: 26  | Дело №: 146626   | Возобновлений: [ 5] | Первая строка: 7480  | Даты: 19.02.2016, 24.02.2016
[ 177] ОВД: 27  | Дело №: 14240    | Возобновлений: [ 5] | Первая строка: 7697  | Даты: 14.07.2016
[ 178] ОВД: 28  | Дело №: 110928   | Возобновлений: [ 5] | Первая строка: 7788  | Даты: 08.01.2016, 25.02.2016
[ 179] ОВД: 31  | Дело №: 159231   | Возобновлений: [ 5] | Первая строка: 8018  | Даты: 20.01.2016
[ 180] ОВД: 31  | Дело №: 163131   | Возобновлений: [ 5] | Первая строка: 8044  | Даты: 28.07.2016
[ 181] ОВД: 31  | Дело №: 171331   | Возобновлений: [ 5] | Первая строка: 8097  | Даты: 16.03.2016, 06.07.2016
[ 182] ОВД: 31  | Дело №: 190231   | Возобновлений: [ 5] | Первая строка: 8151  | Даты: 07.04.2016
[ 183] ОВД: 31  | Дело №: 196431   | Возобновлений: [ 5] | Первая строка: 8176  | Даты: 13.05.2016, 11.07.2016
[ 184] ОВД: 31  | Дело №: 208931   | Возобновлений: [ 5] | Первая строка: 8207  | Даты: 11.07.2016
